SampleID,Condition,Date,Site,pH
S1A,PreDrought,10/1/19,Site1,7.18
S1B,PreDrought,10/1/19,Site1,7.44
S1C,PreDrought,10/1/19,Site1,7.46
S1D,PreDrought,10/1/19,Site1,7.62
S2A,PreDrought,10/1/19,Site2,7.53
S2B,PreDrought,10/1/19,Site2,7.7
S2C,PreDrought,10/1/19,Site2,7.62
S2D,PreDrought,10/1/19,Site2,7.59
S3A,PreDrought,10/1/19,Site3,7.7
S3B,PreDrought,10/1/19,Site3,7.09
S3C,PreDrought,10/1/19,Site3,7.85
S3D,PreDrought,10/1/19,Site3,7.77
S1A,Drought,11/17/19,Site1,7.67
S1B,Drought,11/17/19,Site1,7.27
S1C,Drought,11/17/19,Site1,7.44
S1D,Drought,11/17/19,Site1,7.52
S2A,Drought,11/17/19,Site2,7.69
S2B,Drought,11/17/19,Site2,7.57
S2C,Drought,11/17/19,Site2,7.39
S2D,Drought,11/17/19,Site2,7.14
S3A,Drought,11/17/19,Site3,7.42
S3B,Drought,11/17/19,Site3,7.09
S3C,Drought,11/17/19,Site3,7.65
S3D,Drought,11/17/19,Site3,7.6