SampleID,Condition,Site,Time,Condition_Time
X3300044942.Pre_drought_6hr,PreDrought,Site3,6hr,PreDrought_6hr
X3300044943.Pre_Drought_48hr,PreDrought,Site3,48hr,PreDrought_48hr
X3300044944.Pre_drought_0hr,PreDrought,Site3,0hr,PreDrought_0hr
X3300044945.Drought_6hr,Drought,Site3,6hr,Drought_6hr
X3300045458.Pre_Drought_48hr,PreDrought,Site1,48hr,PreDrought_48hr
X3300045459.Drought_6hr,Drought,Site1,6hr,Drought_6hr
X3300045460.Drought_48_hr,Drought,Site1,48hr,Drought_48hr
X3300045461.Pre_drought_0hr,PreDrought,Site2,0hr,PreDrought_0hr
X3300045462.Pre_drought_6hr,PreDrought,Site2,6hr,PreDrought_6hr
X3300045463.Pre_Drought_48hr,PreDrought,Site2,48hr,PreDrought_48hr
X3300045464.Drought_0hr,Drought,Site2,0hr,Drought_0hr
X3300045465.Drought_48_hr,Drought,Site2,48hr,Drought_48hr
X3300045466.Pre_drought_0hr,PreDrought,Site2,0hr,PreDrought_0hr
X3300045467.Pre_drought_6hr,PreDrought,Site2,6hr,PreDrought_6hr
X3300045468.Pre_Drought_48hr,PreDrought,Site2,48hr,PreDrought_48hr
X3300045469.Drought_0hr,Drought,Site2,0hr,Drought_0hr
X3300045470.Drought_6hr,Drought,Site2,6hr,Drought_6hr
X3300045471.Drought_6hr,Drought,Site3,6hr,Drought_6hr
X3300045472.Drought_48_hr,Drought,Site3,48hr,Drought_48hr
X3300045473.Drought_48_hr,Drought,Site2,48hr,Drought_48hr
X3300048051.Drought_0hr,Drought,Site1,0hr,Drought_0hr
X3300048052.Pre_drought_0hr,PreDrought,Site3,0hr,PreDrought_0hr
X3300048053.Pre_Drought_48hr,PreDrought,Site3,48hr,PreDrought_48hr
X3300048054.Drought_0hr,Drought,Site3,0hr,Drought_0hr
X3300048092.Pre_drought_0hr,PreDrought,Site1,0hr,PreDrought_0hr
X3300048093.Pre_drought_6hr,PreDrought,Site1,6hr,PreDrought_6hr
X3300048094.Pre_Drought_48hr,PreDrought,Site1,48hr,PreDrought_48hr
X3300048095.Drought_6hr,Drought,Site1,6hr,Drought_6hr
X3300048096.Drought_48_hr,Drought,Site1,48hr,Drought_48hr
X3300048099.Pre_drought_0hr,PreDrought,Site1,0hr,PreDrought_0hr
X3300048100.Pre_drought_6hr,PreDrought,Site1,6hr,PreDrought_6hr
X3300049511.Drought_6hr,Drought,Site2,6hr,Drought_6hr
X3300049512.Drought_0hr,Drought,Site3,0hr,Drought_0hr
X3300049557.Drought_48_hr,Drought,Site3,48hr,Drought_48hr
X3300049628.Drought_0hr,Drought,Site1,0hr,Drought_0hr